subject_id,swiss cheese score, parent CTX image, center latitude, center longitude
487074,0.894,"P13_006229_0951_XN_84S014W",-86.57,359.74
1040795,0.894,"D14_032510_0963_XN_83S054W",-83.78,304.44
1492664,0.893,"D14_032656_0959_XI_84S078W",-84.25,282.73
483874,0.892,"P13_005941_0947_XI_85S065W",-86.36,305.03
483836,0.891,"P13_005941_0947_XI_85S065W",-84.97,289.08
1491841,0.891,"G14_023835_0906_XN_89S050W",-89.21,334.63
1319787,0.891,"G15_023927_0932_XI_86S057W",-86.64,302.60
1501128,0.890,"D14_032523_0954_XN_84S045W",-84.53,313.65
483975,0.890,"P13_005941_0947_XI_85S065W",-84.74,289.24
487639,0.889,"P13_006167_0931_XN_86S092W",-87.06,271.57
483931,0.889,"P13_005941_0947_XI_85S065W",-86.73,314.39
1514584,0.888,"D14_032511_0959_XI_84S078W",-84.23,281.90
487153,0.886,"P13_006229_0951_XN_84S014W",-86.84,6.84
1044282,0.886,"D14_032666_0916_XN_88S350W",-88.66,4.72
483935,0.885,"P13_005941_0947_XI_85S065W",-86.59,311.00
1044260,0.884,"D14_032666_0916_XN_88S350W",-88.88,9.41
1040092,0.884,"P13_006123_0953_XN_84S001W",-86.12,7.70
487077,0.884,"P13_006229_0951_XN_84S014W",-86.44,357.66
487151,0.884,"P13_006229_0951_XN_84S014W",-86.91,8.62
487242,0.883,"P13_006229_0951_XN_84S014W",-86.71,5.87
1042278,0.883,"P13_006176_0935_XN_86S350W",-86.67,17.80
1043487,0.883,"D14_032682_0925_XN_87S066W",-87.72,300.01
1040261,0.882,"P13_006123_0953_XN_84S001W",-86.26,12.21
483809,0.882,"P13_005941_0947_XI_85S065W",-86.28,302.31
487661,0.881,"P13_006167_0931_XN_86S092W",-86.85,267.12
483840,0.880,"P13_005941_0947_XI_85S065W",-84.76,287.68
484140,0.880,"P13_005941_0947_XI_85S065W",-86.39,312.09
1043468,0.880,"D14_032682_0925_XN_87S066W",-87.22,289.43
487685,0.880,"P13_006167_0931_XN_86S092W",-86.57,261.53
1039976,0.880,"G14_023794_0952_XN_84S061W",-85.12,300.20
483882,0.880,"P13_005941_0947_XI_85S065W",-86.01,299.92
483947,0.879,"P13_005941_0947_XI_85S065W",-86.10,302.42
1042285,0.879,"P13_006176_0935_XN_86S350W",-86.42,12.14
1043018,0.878,"G14_023728_0958_XI_84S057W",-84.32,303.58
1044416,0.878,"D14_032666_0916_XN_88S350W",-88.54,13.64
1492634,0.878,"D14_032656_0959_XI_84S078W",-84.34,280.97
487168,0.877,"P13_006229_0951_XN_84S014W",-86.21,355.86
488698,0.877,"G14_023807_0886_XN_88S313W",-88.97,40.42
487674,0.877,"P13_006167_0931_XN_86S092W",-86.91,271.63
1040088,0.876,"P13_006123_0953_XN_84S001W",-86.31,10.08
487240,0.876,"P13_006229_0951_XN_84S014W",-86.79,7.56
1042998,0.876,"G14_023728_0958_XI_84S057W",-84.24,302.44
1040067,0.876,"G14_023833_0926_XN_87S017W",-87.34,346.19
1320455,0.876,"P13_006005_0947_XN_85S015W",-86.58,357.89
487068,0.875,"P13_006229_0951_XN_84S014W",-86.81,4.40
1320729,0.875,"P13_006005_0947_XN_85S015W",-86.30,359.25
1320588,0.875,"P13_006005_0947_XN_85S015W",-86.60,1.64
1040010,0.875,"G14_023833_0926_XN_87S017W",-87.69,344.14
483798,0.875,"P13_005941_0947_XI_85S065W",-86.72,310.49
1514574,0.874,"D14_032656_0959_XI_84S078W",-84.03,281.60
